TRAIL 10ng/ml,,,,,,,
Cell #,Surviving,Time pre-MOMP,Max C8 activity pre-MOMP,Time of Max C8 activity (tau),k,t0,r2 of fit
98,1,Inf,0.00082101,285,2.12E-06,22.5575,0.98823
99,0,350,0.0039541,350,4.91E-06,110.1772,0.99249
100,1,Inf,0.00066919,340,1.42E-06,18.662,0.98866
101,0,200,0.0051616,200,1.84E-05,62.6147,0.99932
102,0,175,0.0053045,175,1.91E-05,50.7712,0.99593
103,1,Inf,0.002002,345,2.82E-06,44.751,0.99494
104,1,Inf,0.00079611,150,5.61E-06,57.2719,0.99709
105,1,Inf,0.0016312,525,1.50E-06,-30,0.96193
106,0,365,0.0040578,365,3.39E-06,7.1291,0.99354
107,1,Inf,0.0011121,175,5.05E-06,36.3372,0.99197
108,1,Inf,0.00096725,350,1.61E-06,55.8095,0.99509
109,0,145,0.0051259,145,2.28E-05,30.3554,0.99598
110,1,Inf,0.0010913,205,3.03E-06,3.0872,0.99942
111,1,Inf,0.00053972,150,5.93E-06,77.2263,0.76568
112,1,Inf,0.00094037,150,7.29E-06,60.1056,0.98979
113,1,Inf,0.0010811,495,1.18E-06,-30,0.9692
114,1,Inf,0.001162,485,1.39E-06,29.5126,0.99791
115,1,Inf,0.00070416,180,3.97E-06,61.0667,0.99707
116,0,210,0.0044856,210,1.18E-05,79.6444,0.99842
117,1,Inf,0.00045478,505,5.93E-07,-30,0.74658
118,1,Inf,0.0014406,205,6.25E-06,57.5381,0.99701
119,0,220,0.0048753,220,1.43E-05,85.6303,0.99073
120,1,Inf,0.0026868,315,5.98E-06,33.1068,0.99726
121,1,Inf,0.00087381,550,1.01E-06,-9.4487,0.98958
122,1,Inf,0.0010769,195,1.05E-06,-26.747,0.61048
123,1,Inf,0.0003593,315,4.35E-07,-28.4737,0.96249
124,1,Inf,0.003021,195,5.45E-05,150.1954,0.46216
125,0,250,0.0038938,250,1.09E-05,44.9399,0.99972
126,1,Inf,0.00096499,335,1.77E-06,26.9785,0.99426
127,1,Inf,0.001187,470,8.97E-07,-29.9998,0.98865
128,1,Inf,0.00090098,310,1.85E-06,-29.9995,0.97403
129,0,220,0.004597,220,1.12E-05,49.6279,0.99821
130,0,230,0.0047939,230,9.85E-06,51.0565,0.99641
131,0,290,0.0038196,290,7.96E-06,90.1692,0.99386
132,1,Inf,0.00072306,200,2.41E-06,14.553,0.99683
133,0,400,0.0025181,400,2.87E-06,-25.8793,0.99471
134,1,Inf,0.0008985,245,3.20E-06,75.7267,0.99755
135,1,Inf,0.001004,240,2.50E-06,51.0362,0.98312
136,0,285,0.0037501,285,6.10E-06,61.9846,0.99908
137,1,Inf,0.00075518,470,9.58E-07,-30,0.9636
138,1,Inf,0.0011115,230,3.38E-06,54.0356,0.99906
139,1,Inf,0.00037072,495,4.04E-07,-29.9997,0.94684
140,1,Inf,0.000457,210,1.73E-06,31.2534,0.98851
141,1,Inf,0.0015834,365,2.53E-06,-25.3084,0.99727
142,1,Inf,0.0010456,215,4.27E-06,67.5496,0.99656
143,1,Inf,0.00085757,300,1.44E-06,25.5468,0.99536
144,1,Inf,0.0010058,400,1.37E-06,-29.9999,0.98884
145,1,Inf,0.00096582,290,2.27E-06,38.0443,0.99878
146,1,Inf,0.00089409,300,1.75E-06,-22.3186,0.98811
147,0,155,0.0060514,155,2.56E-05,64.4611,0.99283
148,1,Inf,0.00098583,215,2.60E-06,15.0516,0.99519
149,1,Inf,0.0014493,275,2.41E-06,18.0198,0.91358
150,1,Inf,0.00045747,165,2.29E-06,37.0566,0.94413
151,1,Inf,0.00094796,475,8.59E-07,-29.9986,0.98879
152,1,Inf,0.0011287,240,2.26E-06,12.605,0.97436
153,1,Inf,0.00046236,120,2.22E-06,-6.2586,0.98385
154,1,Inf,0.0016575,215,5.25E-06,50.8919,0.996
155,0,415,0.0023281,415,2.32E-06,9.4383,0.99316
156,1,Inf,0.00083009,350,1.30E-06,-4.0143,0.973
157,0,305,0.0023194,305,4.28E-06,47.0528,0.99886
158,1,Inf,0.0032213,360,6.07E-06,80.6341,0.9985
159,1,Inf,0.0016788,230,4.08E-06,8.9966,0.99915
160,0,360,0.0030936,360,5.13E-06,63.5156,0.9983
161,0,60,0.0050361,60,5.99E-05,30,0.99336
162,0,65,0.0049599,65,6.50E-05,34.1961,0.99684
163,1,Inf,0.00097502,335,1.09E-06,-8.2028,0.95912
164,1,Inf,0.00056413,355,6.02E-07,-29.9996,0.95417
165,1,Inf,0.00047427,145,0,0,0
166,1,Inf,0.0010253,415,1.49E-06,0.33743,0.99394
167,0,280,0.0031526,280,6.77E-06,21.8111,0.992
168,1,Inf,0.0007372,325,1.15E-06,-14.6433,0.98577
169,1,Inf,0.00096198,590,8.48E-07,-30,0.86624
170,0,220,0.00056461,205,2.02E-06,38.6879,0.99085
171,1,Inf,0.00052996,305,8.36E-07,-21.4304,0.98808
172,1,Inf,0.00073582,515,8.31E-07,-29.9999,0.96172
173,1,Inf,0.00065745,515,8.04E-07,-29.9999,0.94839
174,0,385,0.0030839,385,5.26E-06,52.6539,0.99954
175,1,Inf,0.0011505,200,3.64E-06,40.3232,0.98578
176,1,Inf,0.0010688,320,1.94E-06,22.5655,0.99663
177,1,Inf,0.00096487,465,1.34E-06,-29.9999,0.95068
178,0,350,0.0031711,350,3.24E-06,-3.5725,0.98585
179,1,Inf,0.00080153,140,1.16E-05,81.5301,0.92116
